,fechas,TOU.OVR.D
"1",2005-01-01,493.726
"2",2005-02-01,470.854
"3",2005-03-01,713.102
"4",2005-04-01,330.117
"5",2005-05-01,391.574
"6",2005-06-01,468.548
"7",2005-07-01,548.849
"8",2005-08-01,678.792
"9",2005-09-01,550.539
"10",2005-10-01,359.334
"11",2005-11-01,203.573
"12",2005-12-01,354.687
"13",2006-01-01,478.246
"14",2006-02-01,485.262
"15",2006-03-01,600.388
"16",2006-04-01,459.049
"17",2006-05-01,392.032
"18",2006-06-01,505.641
"19",2006-07-01,561.254
"20",2006-08-01,673.836
"21",2006-09-01,610.519
"22",2006-10-01,391.544
"23",2006-11-01,222.984
"24",2006-12-01,376.341
"25",2007-01-01,489.76
"26",2007-02-01,518.827
"27",2007-03-01,605.993
"28",2007-04-01,471.943
"29",2007-05-01,411.964
"30",2007-06-01,558.396
"31",2007-07-01,624.811
"32",2007-08-01,708.886
"33",2007-09-01,634.165
"34",2007-10-01,399.946
"35",2007-11-01,237.162
"36",2007-12-01,420.067
"37",2008-01-01,518.442
"38",2008-02-01,561.972
"39",2008-03-01,776.816
"40",2008-04-01,356.097
"41",2008-05-01,474.477
"42",2008-06-01,521.522
"43",2008-07-01,661.864
"44",2008-08-01,729.225
"45",2008-09-01,623.096
"46",2008-10-01,415.698
"47",2008-11-01,229.256
"48",2008-12-01,444.775
"49",2009-01-01,521.781
"50",2009-02-01,516.263
"51",2009-03-01,583.067
"52",2009-04-01,477.171
"53",2009-05-01,408.734
"54",2009-06-01,525.388
"55",2009-07-01,617.009
"56",2009-08-01,732.31
"57",2009-09-01,613.91
"58",2009-10-01,395.043
"59",2009-11-01,222.213
"60",2009-12-01,418.436
"61",2010-01-01,506.452
"62",2010-02-01,504.592
"63",2010-03-01,631.805
"64",2010-04-01,415.088
"65",2010-05-01,403.335
"66",2010-06-01,511.214
"67",2010-07-01,597.092
"68",2010-08-01,695.201
"69",2010-09-01,575.379
"70",2010-10-01,365.742
"71",2010-11-01,228.49
"72",2010-12-01,382.13
"73",2011-01-01,501.567
"74",2011-02-01,414.6
"75",2011-03-01,603.77
"76",2011-04-01,371.373
"77",2011-05-01,353.008
"78",2011-06-01,497.824
"79",2011-07-01,531.46
"80",2011-08-01,604.107
"81",2011-09-01,495.403
"82",2011-10-01,321.335
"83",2011-11-01,209.485
"84",2011-12-01,303.96
"85",2012-01-01,396.33
"86",2012-02-01,409.777
"87",2012-03-01,464.426
"88",2012-04-01,341.614
"89",2012-05-01,323.953
"90",2012-06-01,399.35
"91",2012-07-01,458.966
"92",2012-08-01,529.459
"93",2012-09-01,463.249
"94",2012-10-01,307.173
"95",2012-11-01,208.656
"96",2012-12-01,322.431
"97",2013-01-01,371.138
"98",2013-02-01,407.889
"99",2013-03-01,512.607
"100",2013-04-01,268.557
"101",2013-05-01,327.834
"102",2013-06-01,390.609
"103",2013-07-01,473.998
"104",2013-08-01,551.13
"105",2013-09-01,448.522
"106",2013-10-01,292.825
"107",2013-11-01,198.164
"108",2013-12-01,330.223
"109",2014-01-01,368.707
"110",2014-02-01,350.499
"111",2014-03-01,486.655
"112",2014-04-01,299.104
"113",2014-05-01,297.243
"114",2014-06-01,382.23
"115",2014-07-01,430.458
"116",2014-08-01,542.9
"117",2014-09-01,423.538
"118",2014-10-01,291.847
"119",2014-11-01,195.595
"120",2014-12-01,325.681
"121",2015-01-01,355.684
"122",2015-02-01,363.27
"123",2015-03-01,409.102
"124",2015-04-01,266.106
"125",2015-05-01,264.576
"126",2015-06-01,330.232
"127",2015-07-01,377.588
"128",2015-08-01,433.478
"129",2015-09-01,355.599
"130",2015-10-01,248.701
"131",2015-11-01,184.475
"132",2015-12-01,264.369
"133",2016-01-01,303.728
"134",2016-02-01,331.588
"135",2016-03-01,417.301
"136",2016-04-01,225.208
"137",2016-05-01,265.565
"138",2016-06-01,308.045
"139",2016-07-01,365.504
"140",2016-08-01,441.145
"141",2016-09-01,347.723
"142",2016-10-01,254.374
"143",2016-11-01,189.156
"144",2016-12-01,254.416
"145",2017-01-01,304.436
"146",2017-02-01,305.153
"147",2017-03-01,378.257
"148",2017-04-01,273.398
"149",2017-05-01,257.555
"150",2017-06-01,330.973
